语料ID,文本,产品名称,年份,产品ID
酒店评论-2015,酒店环境不错，免费洗衣服服务，免费接站服务，值得推荐一下。,华海酒店(茂名高铁站店),2021,ID7999
酒店评论-2016,服务态度好 不错不错,麗枫酒店(茂名电白万达广场店),2021,ID8000
酒店评论-2017,挺好的 还有早餐,城市便捷酒店(茂名学府店),2021,ID8001
酒店评论-2018,再次入住，茂名定点的了，楼后面的停车场，四周交通便利，购物吃饭方便，对面有市场，去火车站也不远，干净卫生，7点半的早餐。,轻住悦享酒店(茂名高铁南站店),2021,ID8002
酒店评论-2019,茂名凯里亚德酒店，是一家很不错的酒店，前台服务态度很好，房间很大，床上用品很舒服，卫生间干，湿分区，就是酒分两边，停车场小，车子进出不太方便。,凯里亚德酒店(茂名高铁站店),2021,ID8003
酒店评论-2020,很好，经常住，非常推荐,Q加·茂名大喜假日酒店,2021,ID8004
酒店评论-2021,服务态度很好 环境：很好 卫生：,麗枫酒店(茂名电白万达广场店),2021,ID8005
酒店评论-2022,前台小姐姐服务很好，入住很愉快，环境卫生很好，下次还会选择这个酒店,茂名御景国际大酒店,2021,ID8006
酒店评论-2023,非常不错 宾至如归的感觉 非常值得推荐,麗枫酒店(茂名电白万达广场店),2021,ID8007
酒店评论-2024,服务可以啦,Q加·茂名大喜假日酒店,2021,ID8008
酒店评论-2025,酒店应该比较新，服务挺好，还有免费洗衣服务，早餐送到房间，吃饭逛街方便,麗枫酒店(茂名电白万达广场店),2021,ID8009
酒店评论-2026,服务态度很好，酒店舒服,Q加·茂名大喜假日酒店,2021,ID8010
酒店评论-2027,连住两晚，到晏镜岭、架海灯塔分别40分钟，1小时20分钟。停车方便，设施尚可。前台服务不错。早晨送到房间， 环境： 服务：,麗枫酒店(茂名电白万达广场店),2021,ID8011
酒店评论-2028,卫生好，前台服务非常热情,Q加·茂名大喜假日酒店,2021,ID8012
酒店评论-2029,是我出行住得性价比最高的酒店，空调不会对床吹，有电梯，周围吃的很多。,Q加·茂名大喜假日酒店,2021,ID8013
酒店评论-2030,酒店环境不错，服务人员态度很好，免费洗衣服务，免费接站服务，值得推荐一下，下次再过来入住这家酒店,华海酒店(茂名高铁站店),2021,ID8014
酒店评论-2031,酒店地理位置优越，免费接站服务，免费洗衣服服务，免费糖水，值得推荐一下。,华海酒店(茂名高铁站店),2021,ID8015
酒店评论-2032,卫生非常好，床很舒服，周边生活方便，酒店早餐好、服务好，服务好，交通方便，房间的大小适中，下次还会去住,茂名御景国际大酒店,2021,ID8016
酒店评论-2033,环境很好，出门就是第一滩，卫生条件也不错，就是酒店设施有点陈旧。,茂名观海楼假日酒店,2021,ID8017
酒店评论-2034,酒店大门面朝大海，卫生设施都不错，很好,茂名观海楼假日酒店,2021,ID8018
酒店评论-2035,酒店性价比很高，房间非常干净，服务也很周到，下次还会再选择这里的！,Q加·茂名大喜假日酒店,2021,ID8019
酒店评论-2036,可以非常棒,城市便捷酒店(茂名学府店),2021,ID8020
酒店评论-2037,忘记拍照了，酒店设施不错，离沙滩近，停车方便，服务态度也很好，干净，卫生。唯一需要吐槽的是水壶煮水太久了，可能是年代久远,茂名观海楼假日酒店,2021,ID8021
酒店评论-2038,干净卫生整洁,城市便捷酒店(茂名学府店),2021,ID8022
酒店评论-2039,不错的地方，早餐也不错,轻住悦享酒店(茂名高铁南站店),2021,ID8023
酒店评论-2040,很安静，位置就在客运站旁边，离高铁站也非常近。唯一不满意的是一开花洒先是播放一顿不知怎么形容的纯音乐，几分钟后声音变成了西边风的呼呼叫的声音，要是一个人真瘆得慌，关键还不能关掉！真不懂酒店怎么想的，换个抒情的纯音乐吧。,柏高酒店(茂名高铁站店),2021,ID8024
酒店评论-2041,卫生好，安静,茂名诚荟酒店,2021,ID8025
酒店评论-2042,环境：优美，服务好,麗枫酒店(茂名电白万达广场店),2021,ID8026
酒店评论-2043,住了三天，台风延误，续了两次酒店，位置方便、停车宽敞，旁边就有一个24小时的茶居解决吃饭问题，出行也都位置相合。,轻住悦享酒店(茂名高铁南站店),2021,ID8027
酒店评论-2044,这一下次连续住了五个晚上，本来想着短住空间小一点也没关系，当时间长了房间小还是会有压迫感的。配套设施很满意，宽敞的停车场，免费使用的洗衣房，真的为旅途中省了许多的麻烦。总体推荐。,轻住悦享酒店(茂名高铁南站店),2021,ID8028
酒店评论-2045,环境很好，服务态度好,轻住悦享酒店(茂名高铁南站店),2021,ID8029
酒店评论-2046,隔音不好，上一层冲马桶声都能听见,麗枫酒店(茂名水东店),2021,ID8030
酒店评论-2047,挺好的一个酒店，价格不贵还有免费的早餐供应，洗衣机热水独立卫生间一样不少，好评,轻住悦享酒店(茂名高铁南站店),2021,ID8031
酒店评论-2048,非常好一个酒店热情卫生很好早餐好吃停车场大非常便利,轻住悦享酒店(茂名高铁南站店),2021,ID8032
酒店评论-2049,停车方便，但近马路晚上有些嘈杂，送早餐。,城市便捷酒店(茂名学府店),2021,ID8033
酒店评论-2050,服务态度不错，其实也蛮安静的，空间也够大，舒服！,麗枫酒店(茂名电白万达广场店),2021,ID8034
酒店评论-2051,交通：方便 环境：很好,麗枫酒店(茂名电白万达广场店),2021,ID8035
酒店评论-2052,杠杠的，值得推荐，还有早餐送！建议订2床套房，感觉比三床得舒服！,轻住悦享酒店(茂名高铁南站店),2021,ID8036
酒店评论-2053,期待下次过来 ，前台服务好，交通便利好，房间干净整洁，还有花茶很好喝，逛街特别近，装修风格高端，大堂香氛好闻 。,麗枫酒店(茂名水东店),2021,ID8037
酒店评论-2054,这个酒店地理位置特别好，设施也可以，房间室内空气质量有待提高,茂名观海楼假日酒店,2021,ID8038
酒店评论-2055,洗澡怎么能没有音乐，这是丽枫特色啊。空调一开就很臭霉味，照理说夏天不可能很久不开空调啊。服务态度是没的说的。,麗枫酒店(茂名电白万达广场店),2021,ID8039
酒店评论-2056,服务好 卫生：卫生干净,麗枫酒店(茂名水东店),2021,ID8040
酒店评论-2057,#交通便利，#设施装修新，尤其是装修风格整体也很喜欢，房间也无异味，房间也无异味，房间也有空气汽化器，并且还配备了薰衣草香薰，#前台服务很热情，并且还有免费的护手霜体验，尤其是进大堂办理入住时候，还有提供花茶和热毛巾，玫瑰花茶特别好喝，#办理入住快，效率高，#隔音好，虽然周围很多娱乐，但是拉上窗帘真的就是只属于自己的空间了。#位置繁华，停车方便。值得推荐，性价比很高。,麗枫酒店(茂名水东店),2021,ID8041
酒店评论-2058,新店，环境不错，前台服务员小姐姐很热情，点赞。,麗枫酒店(茂名电白万达广场店),2021,ID8042
酒店评论-2059,各项指标都能满意！  交通：方便便捷高效快捷出行方便快捷！ 卫生：干净整洁有序美观大方得体卫生！ 环境：舒服清爽舒适透气！ 服务：态度相当好！,轻住悦享酒店(茂名高铁南站店),2021,ID8043
酒店评论-2060,还不错，就是拖鞋很臭,城市便捷酒店(茂名学府店),2021,ID8044
酒店评论-2061,隔音非常好，关上窗听不见路边的声音。酒店房间的地方很宽阔同时热水也比较大，洗澡的时候比较舒适，另外酒店里面的电视也采用的是高清的液晶电视，晚上睡不着的时候可以享受跟私人影院一样的视觉效果。,麗枫酒店(茂名水东店),2021,ID8045
酒店评论-2062,环境优美，地理位置好，交通方便，房间舒适卫生，服务人员很热情，乐于提供各种帮助，早餐丰富。设施很人性化，网络高速信号好，窗外风景好。有特别的开床服务，房间小摆件的设计也很有特色。性价比不错，下次还要入住,麗枫酒店(茂名水东店),2021,ID8046
酒店评论-2063,环境非常的好，坐着特别舒服,凯里亚德酒店(茂名高铁站店),2021,ID8047
酒店评论-2064,环境优美，地理位置好，交通方便，房间舒适卫生，服务人员很热情，特别是前台小姐姐乐于提供各种帮助、前台有个百宝箱、有我喜欢香喷喷的花茶。设施很人性化，网络高速信号好，窗外风景好。性价比不错，下次还要入住,麗枫酒店(茂名水东店),2021,ID8048
酒店评论-2065,酒店服务热情周到，城市便捷酒店管理好，我会一直坚信入住。,城市便捷酒店(茂名学府店),2021,ID8049
酒店评论-2066,快捷酒店，实惠方便，离高铁站很近，房间大小还算宽敞，挺干净，能配一次性拖鞋就更好了，公共拖鞋还是担心脚气等卫生问题。其他都还好，早餐还行吧,轻住悦享酒店(茂名高铁南站店),2021,ID8050
酒店评论-2067,#服务前台接待员小贤服务热情，位置#交通便利，停车方便，前台还有免费的面膜和护手霜体验,麗枫酒店(茂名水东店),2021,ID8051
酒店评论-2068,干静温馨,麗枫酒店(茂名水东店),2021,ID8052
酒店评论-2069,不错，干净方便,城市便捷酒店(茂名学府店),2021,ID8053
酒店评论-2070,酒店附近有许多玩的吃的，很适合带小朋友一起来，有免费洗衣，夜宵，泡脚。环境是干净的，周边吃饭购物方便，这次入住体验非常不错，下次来还住这里，性价比高，服务很好，服务员很细心 房间大小合适，体验很不错，交通又方便，离高铁站近。吃饭附近许多，有停车场，附近商场许多，特别的方便，下次入住首选，,华海酒店(茂名高铁站店),2021,ID8054
酒店评论-2071,房间很好卫生干净整洁很好高铁站旁边非常便利,轻住悦享酒店(茂名高铁南站店),2021,ID8055
酒店评论-2072,002服务态度很好态度很好卫生干净卫生干净,维也纳国际酒店(茂名高铁火车站店),2021,ID8056
酒店评论-2073,很不错的酒店,茂名海豚酒店,2021,ID8057
酒店评论-2074,好。挺舒服的，很干净，下次还来，,轻住悦享酒店(茂名高铁南站店),2021,ID8058
酒店评论-2075,新开的酒店，设施设备全新，床品舒适，淋浴热水充足，卫生条件也很好，楼下吃饭，早茶都很方便，车子可以停在门口也有保安，很方便。,麗枫酒店(茂名水东店),2021,ID8059
酒店评论-2076,房间比较小。,城市便捷酒店(茂名学府店),2021,ID8060
酒店评论-2077,送表妹出嫁的婚房，房间布置超级满意。感谢前台贴身贴心的服务，使整个婚礼的策划活动圆满。完善。滴水不漏。从房间预订，布置婚房。预留接亲车队车位。到整个接亲流程。一个字，顺。表妹上车一刻，工作人员齐声祝贺。祝您幸福！表妹居然眼角泛起幸福的泪花。场面太感人了！感谢丽枫酒店的工作人员。你们太赞了。,麗枫酒店(茂名水东店),2021,ID8061
酒店评论-2078,非常好早餐好吃卫生干净整洁很好前台很好热情高铁站旁边非常便利停车场免费的值得入住,轻住悦享酒店(茂名高铁南站店),2021,ID8062
酒店评论-2079,交通：有停车场 卫生：到位 环境：大部分可以 服务：不错,城市便捷酒店(茂名学府店),2021,ID8063
酒店评论-2080,每次去粤西地区，都选这家店，有停车场，早餐，前台服务员态度非常好，热情服务,轻住悦享酒店(茂名高铁南站店),2021,ID8064
酒店评论-2081,交通：交通方便 卫生：干净 环境 非常舒适 服务：前台接待员非常热情,麗枫酒店(茂名水东店),2021,ID8065
酒店评论-2082,交通：很方便 卫生：很舒服住的 环境：很美 服务：特别好，我都给前台小姐姐好评，他们特别很好，笑容甜美,麗枫酒店(茂名水东店),2021,ID8066
酒店评论-2083,丽枫的早餐也很新鲜，营养也刚好，而且重点是可以送进客房，也很按时！服务是真的无可挑剔！性价比也高，升级的影音房一直都是坚果！很愉快能看电影，很开心的入住！  交通：就在市中心，很方便，停车也方便 卫生：很干净 环境：舒适 服务：很好,麗枫酒店(茂名电白万达广场店),2021,ID8067
酒店评论-2084,住了五天，行  交通：方便 卫生：干净 环境：舒服 服务：好,轻住悦享酒店(茂名高铁南站店),2021,ID8068
酒店评论-2085,很好的又帮我升级了影音房很好的前台小哥哥，这次用心拍了房间的照片供给大家参考一下，一边看电影，吃小零食，很好。  交通：非常方便 卫生：干净 环境：整体舒适 服务：服务还是依旧的好，热情,麗枫酒店(茂名电白万达广场店),2021,ID8069
酒店评论-2086,服务态度很好环境优美、这是很好的酒店,麗枫酒店(茂名水东店),2021,ID8070
酒店评论-2087,很满意，也很安静，舒适，服务很好，谢谢了,麗枫酒店(茂名水东店),2021,ID8071
酒店评论-2088,是一家多功能的酒店，酒店大堂很气派，工作人员热情，帮忙拉行李到房间，免费停车，免费游泳和健身，价格实惠，房间设施齐全，住的舒适，不错的一家酒店，下次有机会再莅临,茂名御景国际大酒店,2021,ID8072
酒店评论-2089,酒店位置和环境都不错，而且非常新！,凯里亚德酒店(茂名高铁站店),2021,ID8073
酒店评论-2090,kf 服务：客房服务态度好 很认真,麗枫酒店(茂名电白万达广场店),2021,ID8074
酒店评论-2091,酒店有专属停车场，停车方便，房间挺大，风景挺好，下楼就是沙滩,茂名观海楼假日酒店,2021,ID8075
酒店评论-2092,酒店在电白来说比较高档环境还可以 出行方便  交通：方便停车免费停车挺好的 免费健身房可以游泳免费自助早餐虽然品种不是很多整体还不错服务也OK,茂名御景国际大酒店,2021,ID8076
酒店评论-2093,服务卫生都挺好的3333下次过来再来,哈曼酒店(化州火车站店),2021,ID8077
景区评论-1001,超级美 冬天白日里最是舒服,中国第一滩旅游度假区,2018,ID8078
景区评论-1002,上了一节深刻的农业科普课，值了，在携程买价格挺合理，当时现场活动价35元。“氧吧”，“花海”，桂花香和成熟的杨桃味扑鼻而来，里面销售部的石榴很好吃，交通挺方便，下了化州出口（汕湛高速）再开5分钟就到了，期待越办越好。,广垦（茂名）国家热带农业公园,2018,ID8079
景区评论-1003,西江温泉度假村坐落于南国玉都——信宜市郊北界镇西江岸边，西江温泉故此得名，距市中心12公里，占地面积100亩，西江温泉度假村粤西新兴的集温泉理疗、旅业饮食、娱乐健身、旅游购物于一体的综合性旅游度假区。,西江温泉度假村,2018,ID8080
景区评论-1004,爬的很累！感觉还是挺不错的，设施再升级完善。2个多小时才爬到山顶！要是有玻璃栈道就完美了！,石根山,2018,ID8081
景区评论-1005,这次是和家人一起出游，选择天马山也是觉得比较适合老人和小朋友，游玩起来不会太累。其实早在04年就已经去过了，那时还没生小孩，这次带着儿子和婆婆一起去，在重温的同时，也可以尽享天伦之乐。比起04年，现在的天马山新增了一些收费项目，个人认为可以不必花费这些钱，是在很一般。其它的景点见仁见智，主要是陪家里人一起出游。,天马山生态旅游区,2018,ID8082
景区评论-1006,山很高，空气清新，环境还可以，最好玩的还是滑道,石根山,2018,ID8083
景区评论-1007,环境清幽淡雅，水质干净够热，休闲好去处，不错,阳江春都温泉,2018,ID8084
景区评论-1008,就是熱帶島嶼…沙灘很小，逛逛還可以，水挺清，但沒什麼玩，還不如月亮灣,阳西青洲岛,2018,ID8085
景区评论-1009,玩了一天，石根山风景还是不错的，滑道非常好玩，值得试试,石根山,2018,ID8086
景区评论-1010,如果天气好，公园特别漂亮，树郁郁葱葱，不过湛江污染严重，好天不多,海滨公园,2018,ID8087
景区评论-1011,环境不错，地方舒适，出入方便。,维纳斯皇家温泉（广东阳西店）,2018,ID8088
景区评论-1012,不错，园内很大，我都走了几个小时，孩子很喜欢，景点很好，有空在去玩！,广垦（茂名）国家热带农业公园,2018,ID8089
景区评论-1013,环境好！空气好！适合散步！关键免费,渔港公园,2018,ID8090
景区评论-1014,环境优雅，校园很大，附近还有地质公园,广东海洋大学,2018,ID8091
景区评论-1015,环境好靓，空气好好，水质棒棒哒。,阳江春都温泉,2018,ID8092
景区评论-1016,还行吧应该，太久之后来评价了我都忘记了当时好不好了，不过今年出来玩的都还不错，好评！,金鹿园,2018,ID8093
景区评论-1017,景色算是不错，有红树林，还有长长的海堤，还有栈桥，早上或者傍晚可以在海边跑步，傍晚很多人在栈桥和海堤漫步，是个非常不错的去处。,水东湾,2018,ID8094
景区评论-1018,登山运动好去处，累着然快乐着，登顶后的征服感更乐！,石根山,2018,ID8095
景区评论-1019,不错，，，，，，，，，值得一去,海东度假村,2018,ID8096
景区评论-1020,人少，开放的池子也少！设施服务配套还有待提高！没有车的话，吃东西就不太方便！,天堂湖温泉度假山庄,2018,ID8097
景区评论-1021,是一个值得一去的好地方，风景很不错哦,石根山,2018,ID8098
景区评论-1022,那里很大，有各部分景点，有游乐设施，有动物园，也有博物馆，景色很美,寸金动物园,2018,ID8099
景区评论-1023,写了返款，没有返款，服务态度不好，水又凉，水又脏。,天堂湖温泉度假山庄,2018,ID8100
景区评论-1024,很小的景区，看票价就知道了。到山顶看看山下的村子额，还是很漂亮的。,崆峒岩风景区,2018,ID8101
景区评论-1025,地方挺大的，新开不久，服务到位，有些池没开，但总体满意。水质好,海东度假村,2018,ID8102
景区评论-1026,虽然是湛江的一个地方性博物馆，不过馆藏多,湛江博物馆,2018,ID8103
景区评论-1027,也有一些年头了的桥梁，不过建筑构造还是很坚固,湛江海湾大桥,2018,ID8104
景区评论-1028,冬天比夏天美，山顶千里冰封，是南方人看霜的一个胜地,石根山,2018,ID8105
景区评论-1029,哈哈哈哈哈哈哈哈哈哈()hiahiahia,金鹿园,2018,ID8106
景区评论-1030,风景不错，就是比较偏，大草原上好冷啊，不过很好！,天马山生态旅游区,2018,ID8107
景区评论-1031,在江边上，公园不算太大，岭南风格，有牌坊，但是免费的，性价比高，比较适合跳跳广场舞啥的，对面都是吃饭的店，挺好的。推荐一下。,瀛州公园,2018,ID8108
景区评论-1032,个人觉得吧，还可以，就是地方太大，指示不不够清晰,广垦（茂名）国家热带农业公园,2018,ID8109
景区评论-1033,环境不错，里面很大，水质很干净，值得一去,阳江春都温泉,2018,ID8110
景区评论-1034,今天去超幸运，所有新池都开放了，环境优美，池水干净卫生，服务超赞，定时有服务员送上热姜茶，大人小孩都玩了很尽兴。以后还会常来！,御水古温泉旅游度假区,2018,ID8111
景区评论-1035,爬了三小时才到山顶，山顶很小，保护措施有点欠缺，感觉不小心就会坠落山崖。山上有滑道和玻璃道，都很好玩，玻璃道虽然不大，到对于没去过张家界玻璃桥的人还是蛮刺激的。,石根山,2018,ID8112
景区评论-1036,湛江市区最近最长的海滩，海沙细幼清洁。,龙海天,2018,ID8113
景区评论-1037,这里挺好的！去前订好住宿地方，适合游玩三天以上！沙滩很好！我们没有到月亮湾里面玩，公寓外沙滩更美，要小心，人员少在沙滩看风景的。,沙扒湾,2018,ID8114
景区评论-1038,还好还好，感觉还可以，就是味道有点大,金鹿园,2018,ID8115
景区评论-1039,风景不错，海拔挺高，爬得好高好累，不过还是挺值门票，尤其是那个滑道一定要尝试，另类的体验。至于玻璃栈道就感觉不值票价了，只有一个屋子的大小，一堆人挤着。,石根山,2018,ID8116
景区评论-1040,用携程比较划算，现场门票得60元。没有去大草原听说来回至少3个小时而且现在冬天草没那么绿。。。好吧，如果不是特别有空的茂名市区乡亲们，还是别在过年的时候来回6个小时车程颠簸了。。。景区比较一般,天马山生态旅游区,2018,ID8117
景区评论-1041,一个字，美。但是感觉商业气息太重了，可能是中国的共性问题，海岸线很长，但是水有点脏，很期待地方政府能好好治理，从保护自然的角度出发，愿成为中国的马尔代夫,闸坡,2018,ID8118
景区评论-1042,景色可以，天气不错！适合休闲途步！,天马山生态旅游区,2018,ID8119
景区评论-1043,一路上没怎么拍照，花了将近三小时登顶，下山花了一个多小时，适合喜欢运动的人，平时不怎么运动的人会比较辛苦，风景还是不错滴。,石根山,2018,ID8120
景区评论-1044,很不错 ，山特别高，要去的早点去就差不多。8点去，然后12-1点才真正到山顶，还好在网上买的买票比较便宜。在门口买60不划算。,天马山生态旅游区,2018,ID8121
景区评论-1045,不建议去玻璃栈道！没有很高！建议加强旅游区的管理，路口买零食的阿姨，会乱指路，要加强路牌的建设，注意搞好景区的卫生！,天马山生态旅游区,2018,ID8122
景区评论-1046,放鸡岛知道这个地方很久了，一直没想过要去呢，就过年这段时间在家里反正闲着也是闲着，想找个地方溜达溜达。上网一搜放鸡岛看了好多照片都挺不错的第二天就直奔过去了。首先天后宫与海螺广场附近一带的景色真的超赞，一定要走走的，先不要急着坐环岛车。之后去菠萝公园这段路程如果怕累的还是坐车吧 哈哈。章鱼保罗里面的画很艺术很多可爱的小鱼，也是值得去的地方。走完一圈最后推荐去鸡公石，一定要上去，朝海的那一边可以在那里坐好久，听着海浪声思考人生 反正这趟不枉此行。,放鸡岛生态旅游国际度假区,2018,ID8123
景区评论-1047,很适合周末去踏青旅行，森林覆盖率高，负离子含量高，神清气爽。一路上都流水潺潺，还有南国大草原很神奇哦。,天马山生态旅游区,2018,ID8124
景区评论-1048,还是值得去的，人比较少，海鲜平易，环境安静，但住宿条件一般：性价比还是可以的，比较适合自驾游，或者一个人在那里面对大海发呆。,蓝袍湾,2018,ID8125
景区评论-1049,天马山是值得一去的地方，很好玩 ^_^,天马山生态旅游区,2018,ID8126
景区评论-1050,很好玩，跟家人一起去的，唯一不好的是，整座山上都没一个厕所…难怪山上会有一股很大的屎尿味…刚好去的是下雨阴天，味道就更大…,石根山,2018,ID8127
景区评论-1051,这景点确实不错，环境挺美的，那些攀爬设施增添了不少乐趣。花30块钱滑下来也是另一种体验。棒棒的。如果里面能增加一些引导地图就更好了。,高州仙人洞景区,2018,ID8128
景区评论-1052,很好！虽然累！但是值得！夏天再去看小瀑布！！,天马山生态旅游区,2018,ID8129
景区评论-1053,从遥感图像上看校园全景，非常美。,广东海洋大学,2018,ID8130
景区评论-1054,岭南建筑群落，值得走走看看，行万里路，了解各地特色。,苏二村,2018,ID8131
景区评论-1055,还是挺不错的，很多个池子，可以泡很久,天堂湖温泉度假山庄,2018,ID8132
景区评论-1056,淡季的放鸡岛很惬意，人少，可以独占景观不怕人挤屏，10点可进岛，建议找艳阳天，住一晚，就算不住的话也建议17点晚班船回。景点1鸡头奇石值得一去，2野菠萝园无敌大海景，3.4.都只需走马观花，坐个电瓶车是必须的，别走断腿影响心情。重头戏在5风情小镇，无敌沙滩，不要跑来跑去，慢慢和心爱的人在一起看走沙滩，堆沙沙，乱石旁抓螃蟹，看日落。晚班船有惊喜哦！,放鸡岛生态旅游国际度假区,2018,ID8133
景区评论-1057,石根山风景很好，是个度假旅游的好地方,石根山,2018,ID8134
景区评论-1058,春都温泉依山傍水，环境优美，值得再次泡泡,阳江春都温泉,2018,ID8135
景区评论-1059,长城站是我们在回程的最后一站 本来应该第一天就登陆的 但是由于天气原因一直拖到了最后 冒着遇到两个巨大风暴的风险 船长和探险队长还是决定让我们去看一下长城站 非常值得,中国南极长城站,2018,ID8136
景区评论-1060,这里风景挺不错的 有瀑布 景色优美山清水秀,天马山生态旅游区,2018,ID8137
景区评论-1061,风景一般般，说好说不上，差吗也没那么差，毕竟门票22元，反正就这样，就那么一个山，不是很大，工作人员态度还可以。一个自然的风景洞，为何安了那么多神神佛佛在那，感觉就好像是进了寺庙一样！,崆峒岩风景区,2018,ID8138
景区评论-1062,学校很美，也很大，典型的热带风情,广东海洋大学,2018,ID8139
景区评论-1063,湛江应该是中国空气质量最好的城市之一，常常占据中央气象台公布的空气质量排行榜前三。金沙湾是湛江最美的海湾，夏天可以游泳，浴场很大，休闲躺椅在大大遮阳伞下排列整齐，成为沙滩的一道风景。海滨大道两旁四季鲜花盛开，体育雕塑气势如虹，来此前还有沙雕展，只是有点晚了，有些破损有些遗憾。现在不是夏季无法下海游泳，只有看着海面上沙鸥翔集，对岸坡头的奥林匹克场馆，海湾大桥以及五星级的希尔顿酒店，相映成趣。特别是希尔顿酒店像两只船帆，鼓足准备远航。,金沙湾海滨浴场,2018,ID8140
景区评论-1064,可惜图很远，风景很好，适合中青年人来玩。一定要穿平底鞋呀，因为要登山，攀爬的比较多，风景很好，豆腐花才3元，风景也好。可惜入门风景缺乏打理，花草枯叶太多，不够整洁，如果能修整一下，就不止3A评分了。风景纯天然。仙人洞不知是人工还是天然的，太小，再大6倍就好了，这样景点就完美了。再加点人，搞几个定时土风貌表演，5A都可以。,高州仙人洞景区,2018,ID8141
景区评论-1065,17号中午11点左右和朋友一起到的天马山，大家都很开心，在门口就拍起照来，该地区的保安也很友好，帮我们照集体照，进到里面后，玩了玻璃桥，蝴蝶谷，然后去南国大草原，所路过的地方，山清水秀，溪水涓涓细流，空气清新，是天然氧吧，到达顶峰后，大伙都超兴奋，返程时已是4点多了，愉快的天马山之旅！,天马山生态旅游区,2018,ID8142
景区评论-1066,风大，浪大，水清，一个小时玩，其实就够了。人也不多,吉兆湾,2018,ID8143
景区评论-1067,都温泉风景区，它北靠钩髻顶，四面环山，一水奔流，东临河表水库，地处花岗岩侵入隆起断层上升山区，生态原始，景色优美，空气清新，环境脱俗怡人。春都温泉属世界珍稀高热氡温泉，其氡元素可溶于水中，进入人体后，很快蜕变完，对机体不发生毒害，在机体内主要是靠射线起作用，调整神经功能，有清脂、催眠、镇静和镇痛作用常浴氡泉，能减肥，对风湿、高血压、神经衰弱等十多种慢**有显著疗效氡泉能改善人体内分泌功能，能消退表皮褐斑，使皮肤白皙、细腻。令男人强身健体，青春长驻；令女人月经顺畅，艳若桃花其水温高达79.4度，含氡量108.17马海，矿化度低，含多种人体必需的微量元素，水质清澈透明，无色无味无嗅，感观绝优，更可贵的是有悠久的浸浴使用历史和众口皆碑治病壮体的效果。春都温泉有四奇：山奇、水奇、石奇、景奇，令人叹为观止,阳江春都温泉,2018,ID8144
景区评论-1068,爬了一天，累成，早上11点开始上山，2点到达苗寨，最后用了两个小时爬到大草原，虽然很累，但山顶的草原景色真心不错,天马山生态旅游区,2018,ID8145
景区评论-1069,龙海天距离市区很远，但是从市区到龙海天很多直达车，霞山，赤坎都有到龙海天的直达车，途中可以穿越东海岛。龙海天沙滩一望无际，从头到尾走下去可能需要大半天的时间了,龙海天,2018,ID8146
景区评论-1070,其实这个小镇就是在海陵岛上面的正中心，平常这个地方是相当有名气的，但是现在海林岛整个岛开发出来的话，现在已经是比较少人过来这边了，因为没有豪华的大酒店。 吃东西也比较贵，而且警察抄车牌的情况也比较严重。 海鲜市场倒是比较好的。,闸坡,2018,ID8147
景区评论-1071,就是在海边的一个游乐场。有个摩天轮。个人认为并没有什么值得玩的地方。反而就在旁边的观海长廊很美。,海滨公园游乐场,2018,ID8148
景区评论-1072,给冼太夫人烧香祭拜，就到茂名市电白区电城山兜。可以到洗太夫人墓碑前烧香祭拜。风景园林绿化不错，西南角种植花海，五颜六色，还有各种古代建筑 ，洗太夫人历史简介碑。。。。。,冼太庙,2018,ID8149
景区评论-1073,其实有本地人带去不用门票的，我就是本地人，上到那些高山看下面去也是很美,玉湖风景区,2018,ID8150
景区评论-1074,跟本不对外开放，骗人的，乘兴而去，败兴而归。,湛江红树林国家级自然保护区,2018,ID8151
景区评论-1075,湛江是廣東最南邊，海岸線長，這幾年大幅開發，海濱公園沿線有越來越多的休閒設施，加上海岸線有水筆仔等紅樹林生態區，是很多人聚集休憩的公共空間。,海滨公园,2018,ID8152
景区评论-1076,一下飞机先办理好入住手续，直奔渔港公园。风景非常漂亮，当时风还是比较大的，还乘游艇去远看一下军舰！有很多客军舰停泊在那里。,渔港公园,2018,ID8153
景区评论-1077,来阳江出差，在市政府办完事就住在附近的华邑酒店，挨着鸳鸯湖，鸳鸯湖是一个人工湖，但是面积挺大，绿化很好，有漠阳楼，游泳池，广场是休闲散步的好地方。,鸳鸯湖公园,2018,ID8154
景区评论-1078,曲径通幽处，盘石是路标。眼前疑无路，转角又洞天。五棱与奔驰，皆为泡温泉。贫富虽有别，养生却无异。若非自驾游，交通很不便。本人非富有，此地却重游。,御水古温泉旅游度假区,2018,ID8155
景区评论-1079,历史的痕迹，历史的记忆，历史铭记,霞山天主教堂,2018,ID8156
景区评论-1080,闸坡最干净的沙滩，北洛湾水清沙细，风景独好！,闸坡,2018,ID8157
景区评论-1081,热带风光，一目了然。自然景色，扑面而来。他风景如画，水果园林，人工大棚。各种各样的瓜果疏菜，奇异的植物，休闲风格各异。实在是人工天然的朵朵奇花。,广垦（茂名）国家热带农业公园,2018,ID8158
景区评论-1082,服务态度很好，卫生很干净，很喜欢，下次还会来。。。。,维纳斯皇家温泉（广东阳西店）,2018,ID8159
